,id,role_0,role_1,role_2
238,9129,10636,6803,3318
239,149041,643,34,4
240,7327,225,52,2
241,1026,11051,9393,530
242,1,168,0,0
243,79850,2,0,0
244,6520,126,23,2
245,84129,1521,364,109
246,7284,1000,365,227
247,139341,261,14,0
248,9318,3873,1522,202
249,3646,6065,1880,718
250,6259,453,34,2
251,5591,1108,905,106
252,230967,86,2,2
253,4750,682,93,3
254,66877,935,33,39
255,58509,3756,691,2562
256,200879,10,0,0
257,51148,48,0,3
258,79172,1605,261,177
259,64105,1579,122,131
260,4188,357,405,10
261,7866,824,19,2
262,29114,62,0,3
263,25932,1615,164,13
264,1717,4744,556,822
265,293,403,67,56
266,57596,665,53,6
267,126868,241,41,0
268,6144,985,410,385
269,6122,9994,3472,2836
270,6137,13072,9016,4390
271,81876,2610,752,83
272,1432,10693,12438,704
273,2004,1088,24,11
274,51073,230,138,9
275,51650,106,26,10
276,25824,2250,696,41
277,57532,3685,606,112
278,7014,7938,7701,312
279,203245,190,4,3
280,8503,295,128,16
281,54906,106,0,4
282,6118,1922,1598,179
283,5981,4070,793,187
284,5042,5101,609,1196
285,255967,426,11,3
286,1739,3203,933,59
287,9229,1656,61,26
288,84140,3919,2146,128
289,164127,1592,110,9
290,5564,947,245,27
291,286480,240,61,1
292,10664,2712,299,21
293,3146,395,51,10
294,56254,3200,959,58
295,51322,1967,185,12
296,7514,22671,193166,3088
297,4733,2269,245,15
298,51729,604,52,220
299,79228,780,125,232
300,79768,1020,191,8
301,10573,683,29,16
302,6183,45,0,0
303,8428,3213,638,100
304,11011,355,7,1
305,1738,3038,1675,117
306,2109,1469,42,2
307,11051,1089,444,252
308,3066,1208,486,102
309,7153,1352,412,77
310,22608,438,0,8
311,1660,12685,24449,6668
312,388697,466,24,85
313,81910,686,154,156
314,53339,60,0,3
315,28964,159,0,2
316,156,524,82,9
317,8227,98,0,0
318,80321,4852,8508,121
319,23168,1906,157,27
320,5330,253,52,1
321,23336,93,10,0
322,1837,922,161,21
323,5571,2157,373,26
324,347688,1104,343,8
325,6676,135,82,1
326,503497,330,57,1
327,6390,2011,845,80
328,5018,404,29,10
329,8237,809,124,19
330,801,9788,32689,600
331,94180,120,0,0
