id,role_0,role_1,role_2,role_3
7284,243,46922,20688,8715
139341,15,1570,99,6
9318,123,17948,6755,748
3646,169,33753,10387,3809
6259,78,13787,2897,106
5591,310,59919,43264,4631
230967,6,530,10,5
4750,25,3385,290,10
66877,25,4256,169,131
58509,167,20051,3351,10510
200879,49,2048,1174,2
51148,41,4730,740,80
79172,66,8861,1408,737
64105,54,6460,723,708
4188,437,21753,94542,724
7866,19,7659,150,21
29114,35,3302,450,145
25932,53,10021,1240,138
1717,114,23034,3260,3181
293,207,40033,16236,5085
57596,59,8529,1633,78
126868,21,2241,198,12
6144,300,44548,26116,18734
6122,257,46030,19093,13803
6137,358,54260,43407,20496
81876,80,12315,2808,352
1432,327,38249,50993,2308
2004,19,5952,135,36
51073,159,12491,8979,3582
51650,90,5432,840,3165
25824,80,9170,2973,187
57532,81,14737,2779,461
7014,265,30096,33695,1285
203245,7,746,17,4
8503,137,13243,8922,394
54906,56,8231,1413,127
6118,471,65285,103491,7194
5981,94,17481,3579,792
5042,126,27938,2135,5740
255967,10,4399,29,16
1739,94,11072,4104,267
9229,33,5566,402,126
84140,137,16751,8697,619
164127,45,6889,946,44
5564,181,22738,15755,535
286480,61,6551,1787,43
10664,53,12453,1216,162
3146,114,20139,5995,446
56254,81,14378,3038,202
51322,39,8232,694,47
7514,1254,92676,772320,13311
4733,49,15737,1083,93
51729,173,25027,6023,8855
79228,158,20811,3578,8825
79768,38,6815,680,23
10573,111,12952,2734,3371
6183,93,4212,1337,2941
8428,82,12512,2877,444
11011,27,7710,323,28
1738,111,13024,5680,425
2109,25,8246,273,27
11051,268,40127,25498,10280
3066,385,48304,68456,5464
7153,164,38438,11220,2146
22608,56,10968,1191,349
1660,527,67576,107171,31430
388697,87,24451,1520,2221
81910,218,24616,19502,4151
53339,25,5150,234,66
28964,78,13234,2782,221
156,101,17180,4688,362
8227,23,3869,247,6
80321,268,20256,35220,558
23168,40,9365,654,126
5330,56,3136,1066,474
23336,18,3509,144,9
1837,38,3065,645,58
5571,57,7103,1485,111
347688,50,5279,1200,25
6676,24,780,275,1
503497,21,995,205,5
6390,90,11454,3602,403
5018,64,11066,1145,871
8237,133,21416,8344,434
801,522,50663,133300,2681
94180,1,521,0,0
5733,115,10377,6445,110
80125,155,19268,11134,801
6160,277,45472,22270,15956
6207,350,54737,39687,21388
9261,68,18320,1943,335
51465,44,8056,875,71
10492,459,65017,86828,18283
339344,36,6646,544,86
79980,51,9487,1089,186
6098,9,3291,21,15
5781,173,19932,13711,1167
4223,687,36527,233526,2115
8675,18,2125,102,51
23790,146,12671,9689,896
154810,36,6409,522,108
6310,301,22180,44467,683
440,82,13244,2967,354
5184,40,5829,648,132
6195,113,16734,5820,508
10073,30,4709,413,22
8022,79,6060,3007,74
83543,7,2885,21,0
27153,13,2978,72,6
171483,132,9185,8566,80
51019,62,6849,1734,157
200081,139,23357,8867,724
6143,264,43180,17803,16913
8886,189,41201,9406,8360
9099,169,25675,13575,621
83878,230,15577,25182,1153
155945,63,7645,1871,82
7037,107,22154,5395,276
8945,351,45143,58886,2539
2175,85,14612,3196,374
26121,281,39581,29130,10210
7379,14,614,87,4
8600,41,5277,793,27
6813,29,3337,348,58
6844,88,9306,3502,326
663,34,5054,538,23
10613,53,9590,1279,99
4627,341,48345,53513,4457
5756,56,10825,1311,229
5216,81,21543,2882,358
54557,182,7793,16325,146
55027,32,5576,487,9
80279,48,9235,1048,80
23376,26,6701,311,14
661,36,4309,499,131
246184,35,1849,312,283
51434,75,11485,2215,560
1208,3,30,0,3
5406,12,1878,38,28
4691,436,69892,73512,21318
7307,348,44932,40313,20065
128553,20,3574,178,12
84248,59,10076,1585,126
579,14,2265,39,52
7091,32,4330,412,84
4694,60,2946,425,1345
4710,79,4642,1564,1517
2296,47,7988,971,110
57459,95,16134,3776,689
57418,144,30467,4196,6100
55294,180,22950,15151,959
29079,368,31061,64775,2753
975,217,34751,20648,2788
6155,231,36987,13926,12639
4141,84,22002,2908,578
7030,52,10021,1250,76
7917,300,30385,43839,1011
84292,195,25984,15102,3813
64949,117,12844,3250,3536
55720,118,23209,5621,1282
2118,21,5721,187,23
4811,26,3878,288,37
60490,20,2195,186,4
705,178,28022,14904,849
8548,107,12699,5344,327
79843,62,10014,1752,139
5350,35,2871,573,22
203562,132,3669,8594,52
5469,122,18909,5905,1476
10014,368,59070,62018,5510
99100,81,5932,3188,52
9886,7,3810,10,11
68734,17,1655,121,15
988,326,41593,39274,13701
138046,45,5794,883,107
1993,22,5447,201,30
3881,375,27090,68821,1304
5694,93,16010,2649,1629
10055,66,14181,1949,196
7533,341,47866,52812,5158
5062,152,27852,10710,766
79902,58,10504,1339,314
9972,121,20144,6245,1015
9948,99,18119,4317,534
8761,142,38471,8474,1537
1875,17,5028,80,56
10672,57,9139,1517,79
7046,319,20312,49699,1022
56455,67,4797,2060,151
140710,35,6555,551,44
132141,16,905,117,3
2052,29,4072,401,5
1457,613,75457,180406,7172
10772,149,33203,6634,4392
81833,60,1856,1758,12
5337,52,7815,1241,85
64375,25,3019,236,64
131,24,3393,179,97
224,106,11240,5379,186
9136,34,6362,476,85
55272,37,6069,620,46
286753,58,3479,1627,26
25945,41,4614,728,92
56288,84,12796,3182,304
3183,384,68387,55739,17797
9863,27,3615,334,17
84630,9,785,36,0
4695,110,10318,4310,1685
4707,58,4953,262,1391
26227,126,32001,7100,775
2885,1079,92799,566802,14779
8451,381,51080,64050,8340
9169,34,6111,466,95
6602,205,27599,19414,1496
64599,48,9636,1041,87
6772,223,32324,23359,1394
7852,49,7450,1063,113
10236,273,53259,28994,8134
1398,377,36794,68374,2502
166,299,32913,42143,2408
54915,62,15333,1788,103
221150,39,5385,699,42
64210,193,22136,17888,640
64428,8,4074,22,6
50875,89,8199,3334,582
85464,25,7637,169,131
54487,62,15759,1534,357
9987,128,32681,6274,1854
57082,40,3500,647,133
5478,114,29606,5850,591
79800,5,3202,7,3
1994,1864,105646,1715428,20888
6175,344,56187,38810,20186
51362,177,20427,4761,10815
9444,67,13800,1913,298
8939,65,19517,1809,271
2593,12,1527,58,8
10667,75,14464,2644,131
170954,105,17121,5117,343
8894,74,17716,2425,276
9493,100,19662,3985,965
2130,696,74687,234254,7606
2185,90,11792,3484,521
84527,7,1762,11,10
386680,137,8895,7987,1329
84996,14,1839,82,9
337879,70,5149,2207,208
64326,79,15617,2600,481
8454,761,81274,268834,20346
23405,221,36536,15540,8770
4839,141,33451,7146,2724
6193,282,47713,24191,15430
282322,4,661,5,1
6462,63,5791,1922,31
63893,77,15398,2789,137
2542196,1,499,0,0
6634,221,38057,17150,7160
74764,7,441,15,6
3799,128,21717,7631,497
6733,458,42997,101253,3400
8926,35,9928,441,154
55064,3,167,3,0
2802,40,10426,734,46
282323,6,554,15,0
5577,69,6581,2189,157
151194,25,5069,252,48
3313,264,56236,30618,4098
83660,30,3425,417,18
23543,108,17564,5340,438
6311,62,15751,1718,173
595,110,24797,5265,730
5000,45,9027,828,162
10450,178,18350,5173,10580
3550,195,29446,9243,9672
23345,174,33486,6933,8118
6134,446,51591,80465,18770
1677,14,6642,72,19
4082,45,13878,873,117
10399,284,54114,33796,6390
920,123,22808,4943,2560
2624,63,14681,1757,196
161882,10,1255,42,3
4240,6,1092,15,0
3693,67,10262,2091,120
85451,295,37169,41780,1585
54940,28,9241,361,17
2335,790,89465,293866,17789
6218,174,34398,6148,8903
23243,99,14537,4539,312
8897,14,2847,84,7
3727,54,10771,1219,212
4779,27,3338,310,41
226,139,24107,8675,916
10551,60,9564,1712,58
80012,30,4011,274,161
51400,92,12403,3846,340
1936,164,35632,12212,1154
51265,32,8461,478,18
26088,64,10649,1866,150
56970,30,4301,286,149
389856,3,166,2,1
55832,698,75207,223142,20111
1832,112,23769,5732,484
5079,54,6611,1364,67
639,27,6330,312,39
861,100,16412,4398,552
84705,22,2637,229,2
26003,143,18270,9895,258
6117,492,66294,112653,8133
5557,37,8356,412,254
10449,55,10774,1300,185
6342,42,5644,777,84
22974,45,10178,911,79
3551,222,36321,22096,2435
23081,10,4361,32,13
3065,609,53407,176906,8230
64112,26,3387,315,10
84217,52,4072,1277,49
7112,119,24149,6568,453
1105,32,11297,412,84
220134,51,5650,1198,77
3796,71,13219,2361,124
10266,10,137,32,13
10268,17,2186,115,21
80067,7,1562,11,10
8450,382,59673,63857,8914
16319,6,648,6,9
284119,79,12737,2885,196
64757,15,2969,96,9
84084,3,479,3,0
10140,47,13106,923,158
26229,28,1463,361,17
9554,75,13837,2551,224
10875,11,426,53,2
10007,44,6581,837,109
1891,75,11909,2506,269
56922,22,5445,197,34
5549,17,1572,125,11
