,id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10
15125,851565,207,2,0,1374,0,3,0,0,0,0,0
15126,9770,992,443,1,1560,14,13,15,0,0,0,0
15127,94137,96,1,0,172,0,0,0,0,0,0,0
15128,4961525,3661,112,12,2023,0,454,36,1,29,0,0
15129,2719,173,112,1,163,13,0,0,0,0,0,0
15130,26821,68,2,0,224,0,1,0,0,0,0,0
15131,23555,85,7,0,201,0,3,0,0,0,0,0
15132,338761,167,8,0,202,0,0,0,0,0,0,0
15133,56673,188,9,0,588,0,2,2,0,0,0,0
15134,150223,15,0,0,0,0,1,0,0,0,0,0
15135,54989,10982,220,2,10638,1,4158,302,3,106,2,0
15136,338599,397,51,0,836,0,9,2,0,0,0,0
15137,4099,351,161,5,1407,21,6,15,2,0,0,0
15138,1297,2587,336,1,621,5,8,22,3,1,0,0
15139,342666,20,6,0,12,0,1,0,0,0,0,0
15140,2838,53,0,0,3190,0,2,1,0,0,0,0
15141,116698,1,0,0,0,0,0,0,0,0,0,0
15142,55007,852,271,0,760,26,23,3,0,0,0,0
15143,653067,107,7,0,71,0,1,0,0,0,0,0
15144,23821,105,14,0,60,0,3,0,0,0,0,0
15145,9121,108,0,0,42,0,2,0,0,0,0,0
15146,12322,17,0,0,32,0,0,0,0,0,0,0
15147,152007,172,4,0,177,0,1,0,0,0,0,0
15148,57721,103,15,0,91,0,7,2,0,0,0,0
15149,25961,1471,0,0,814,0,23,10,0,1,0,0
15150,105352,67,0,0,73,0,0,0,0,0,0,0
15151,9926,487,74,0,1258,2,6,2,0,0,0,0
15152,2168,150,1,0,114,0,4,0,0,0,0,0
15153,51725,14,0,0,11,0,0,0,0,0,0,0
15154,23424,1826,445,3,452,17,11,2,2,0,0,0
15155,231225,145,9,0,79,0,1,1,0,0,0,0
15156,75590,265,0,0,384,0,1,2,0,0,0,0
15157,653781,6257,180,8,4661,0,1202,0,0,0,0,0
15158,5889,3594,1180,11,4897,21,419,119,16,1,1,0
15159,11006,47,0,0,121,0,1,1,0,0,0,0
15160,10321,0,0,0,0,0,0,0,0,0,0,0
15161,301035,1,0,0,0,0,0,0,0,0,0,0
15162,63901,8948,185,2,6073,0,1456,107,0,6,0,0
15163,606551,26,0,0,447,0,1,0,0,0,0,0
15164,329015,67,0,0,71,0,0,0,0,0,0,0
15165,84870,11,0,0,3,0,0,0,0,0,0,0
15166,58158,79,2,0,119,0,2,0,0,0,0,0
15167,18647,54,1,0,553,0,1,2,0,0,0,0
15168,12450,167,0,0,374,0,2,5,0,0,0,0
15169,20276,26,0,0,8,0,0,0,0,0,0,0
15170,269614,250,3,0,54,0,8,0,0,0,0,0
15171,1777,5415,224,2,5119,1,281,70,0,27,0,0
15172,80199,59,2,0,4,0,0,0,0,0,0,0
15173,89790,2306,348,7,1484,4,79,3,2,0,0,0
15174,26835,68,0,0,4,0,2,0,0,0,0,0
15175,7288,155,2,0,745,0,3,0,0,0,0,0
15176,26572,60,0,0,18,0,2,0,0,0,0,0
15177,10,3906,1413,17,2886,87,100,30,11,5,1,0
15178,2978,124,5,0,153,0,1,0,0,0,0,0
15179,66066,1,0,0,9,0,0,0,0,0,0,0
15180,57479,326,15,0,819,0,4,5,0,0,0,0
15181,401172,43,0,0,93,0,1,0,0,0,0,0
15182,51155,609,107,0,829,7,7,1,0,0,0,0
15183,4250,41,2,0,73,0,0,0,0,0,0,0
15184,221458,139,36,0,221,2,1,0,0,0,0,0
15185,68815,459,95,3,429,0,5,1,0,0,0,0
15186,84926,189,10,0,686,0,6,1,0,0,0,0
15187,51108,77,4,0,10,0,0,0,0,0,0,0
15188,170685,281,42,1,791,0,5,0,0,0,0,0
15189,8913,83,0,0,134,0,1,0,0,0,0,0
15190,1135,1,0,1,2,0,1,0,0,0,0,0
15191,1141,16,2,1,6,0,0,12,1,0,0,0
15192,1775,302,16,0,643,0,6,3,0,0,0,0
15193,84174,2597,20,0,1198,0,36,91,0,4,0,0
15194,15499,1227,358,5,430,9,40,0,0,0,0,0
15195,318,98,1,0,113,0,1,0,0,0,0,0
15196,29780,1008,137,1,287,1,78,0,0,0,0,0
15197,197259,557,179,0,340,6,113,0,0,0,0,0
15198,147040,22,0,0,293,0,3,0,0,0,0,0
15199,837868,39,0,0,127,0,1,0,0,0,0,0
15200,641367,69,0,0,751,0,8,0,0,0,0,0
15201,7022,555,38,0,1573,0,3,10,0,0,0,0
15202,79573,95,1,0,279,0,0,0,0,0,0,0
15203,2028,8,0,0,0,0,0,0,0,0,0,0
15204,168374,1191,112,0,248,0,41,0,0,0,0,0
15205,55237,1649,152,1,1598,1,40,0,0,0,0,0
15206,7675,454,26,1,967,0,20,1,0,0,0,0
15207,99890,2917,209,1,1099,1,876,0,0,0,0,0
15208,1515,97,23,0,97,0,1,2,0,0,0,0
15209,56142,6394,273,8,11717,0,534,0,0,0,0,0
15210,78992,345,27,0,1118,0,2,1,0,0,0,0
15211,55118,68,0,0,1,0,0,0,0,0,0,0
15212,26355,4249,746,20,2214,26,491,426,10,32,0,0
15213,854768,154,0,0,1900,0,2,0,0,0,0,0
15214,22141,11,0,0,11,0,0,0,0,0,0,0
15215,221955,2194,821,6,529,37,28,39,4,1,0,0
15216,2798,2383,147,7,1137,5,27,9,2,4,0,0
15217,117854,322,12,0,420,0,10,3,0,0,0,0
15218,140873,33,0,0,0,0,0,0,0,0,0,0
15219,21340,242,0,0,367,0,3,2,0,0,0,0
15220,831959,1,0,0,130,0,0,0,0,0,0,0
15221,100462977,274,29,0,1032,0,8,2,0,0,0,0
15222,97,14138,14,1,11624,1,1665,1507,0,36,3,4
15223,57547,572,423,5,888,6,6,0,0,0,0,0
15224,56907,201,1,0,327,0,2,0,0,0,0,0
15225,643752,68,1,0,67,0,6,0,0,0,0,0
15226,284486,12,0,0,47,0,0,0,0,0,0,0
15227,4066,704,144,0,695,2,12,11,1,1,0,0
15228,5459,111,2,0,55,0,2,0,0,0,0,0
15229,12364,13,0,0,5,0,2,0,0,0,0,0
15230,221718,1039,238,5,792,14,8,6,2,0,0,0
15231,727910,37,0,0,31,0,0,0,0,0,0,0
15232,7781,879,266,3,272,5,12,23,3,7,0,1
15233,4246,98,3,0,3,0,0,0,0,0,0,0
15234,4435,9621,641,34,10725,5,724,1172,8,85,6,4
15235,853133,1757,789,2,1643,0,19,1,0,0,0,0
15236,79736,1287,103,0,1260,1,16,0,0,0,0,0
15237,55713,34,0,0,54,0,0,0,0,0,0,0
15238,6307,334,9,0,154,1,15,0,0,0,0,0
15239,3781,1256,85,2,1027,1,11,1,0,0,0,0
15240,851651,42,1,0,8,0,1,0,0,0,0,0
15241,55784,9,0,0,1098,0,2,0,0,0,0,0
15242,57148,1802,194,0,1809,0,37,2,1,0,0,0
15243,54442,1284,579,2,2579,21,18,11,0,0,0,0
15244,20630,4936,0,0,5792,0,1714,6,0,0,0,0
15245,27019,82,0,0,146,0,0,0,0,0,0,0
15246,112812,61,6,0,1517,0,6,0,0,0,0,0
15247,138474,2726,865,4,685,2,77,95,11,34,1,4
